Partlist

Exported from F030_R01.sch at 31.10.2019 12:09

EAGLE Version 9.2.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device                         Package            Library      Sheet
L27      100uH              L-1210                         L1210              F030NG       22
L28      100uH              L-1210                         L1210              F030NG       22
L29      4u7                L-1210                         L1210              F030NG       22
L30      68uH               L-1210                         L1210              F030NG       10
LED1     LTST-C171KSKT      LEDCHIPLED_0805                CHIPLED_0805       led          8
LED2     LTST-C171KSKT      LEDCHIPLED_0805                CHIPLED_0805       led          8
LED3     LTST-C171KGKT      LEDCHIPLED_0805                CHIPLED_0805       led          8
LED4     LTST-C171KGKT      LEDCHIPLED_0805                CHIPLED_0805       led          8
P1       8x10k              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       6
P2       8x10k              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       6
P3       8x4k7              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       7
P4       8x4k7              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       7
P5       220/330            CTS766                         SO14               F030NG       11
P6       220/330            CTS766                         SO14               F030NG       11
P7       8x1k               R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       12
P8       8x4k7              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       14
P9       8x4k7              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       14
P10      8x4k7              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       14
P11      8x10k              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       14
P12      8x10k              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       14
P13      4x10k              R-ARRAY_4RCTS-774-8NS          CTS-774-8NS        F030NG       15
P14      8x1k2              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       15
P15      8x47k              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       17
P16      8x47k              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       17
P17      8x68R              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       17
P18      8x68R              R-ARRAY_8R742-16NS             CTS-742-16NS       F030NG       17
P19      4x10k              R-ARRAY_4RCTS-774-8NS          CTS-774-8NS        F030NG       18
P20      8x10k              R-ARRAY_4RCTS-774-8NS          CTS-774-8NS        F030NG       21
Q1       2.4576M            CRYSTAL_RESONATOR_UNSHILELDEDU HC49U              F030NG       1
Q2       32.768kHZ          CRYSTALTC26V                   TC26V              crystal      8
Q3       3.6864M            CRYSTAL_OSCILLATORSMD          SM77H              F030NG       21
Q4       20M                CRYSTAL_RESONATOR_UNSHILELDEDU HC49U              F030NG       16
Q5       6M                 CRYSTAL_RESONATOR_UNSHILELDEDU HC49U              F030NG       16
Q6       14.7456M           CRYSTAL_RESONATOR_UNSHILELDEDU HC49U              F030NG       21
Q7       32.084988M         CRYSTAL_OSCILLATOR14SS         DIL14S-SOCKETED    F030NG       21
Q8       25.175M            CRYSTAL_OSCILLATOR8S           DIL08S             F030NG       21
Q9       VAR                CRYSTAL_OSCILLATORSS           DIL08S-SOCKETED    F030NG       21
R1       220                R-EU_R0805                     R0805              rcl          1
R2       33                 R-EU_R0805                     R0805              rcl          1
R3       4k7                R-EU_R0805                     R0805              rcl          1
R4       4k7                R-EU_R0805                     R0805              rcl          1
R5       1k                 R-EU_R0805                     R0805              rcl          1
R6       4k7                R-EU_R0805                     R0805              rcl          1
R7       1k                 R-EU_R0805                     R0805              rcl          1
R8       4k7                R-EU_R0805                     R0805              rcl          1
R9       3k3                R-EU_R0805                     R0805              rcl          1
R10      4k7                R-EU_R0805                     R0805              rcl          1
R11      4k7                R-EU_R0805                     R0805              rcl          1
R12      4k7                R-EU_R0805                     R0805              rcl          1
R13      4k7                R-EU_R0805                     R0805              rcl          1
R14      3k3                R-EU_R0805                     R0805              rcl          1
R15      10k                R-EU_R0805                     R0805              rcl          1
R16      220                R-EU_R0805                     R0805              rcl          1
R17      220                R-EU_R0805                     R0805              rcl          1
R18      220                R-EU_R0805                     R0805              rcl          1
R19      220                R-EU_R0805                     R0805              rcl          1
R20      220                R-EU_R0805                     R0805              rcl          1
R21      4k7                R-EU_R0805                     R0805              rcl          2
R22      4k7                R-EU_R0805                     R0805              rcl          2
R23      4k7                R-EU_R0805                     R0805              rcl          2
R24      4k7                R-EU_R0805                     R0805              rcl          2
R25      4k7                R-EU_R0805                     R0805              rcl          2
R26      10k                R-EU_R0805                     R0805              rcl          2
R27      4k7                R-EU_R0805                     R0805              rcl          2
R28      4k7                R-EU_R0805                     R0805              rcl          2
R29      10k                R-EU_R0805                     R0805              rcl          2
R30      10k                R-EU_R0805                     R0805              rcl          2
R31      4k7                R-EU_R0805                     R0805              rcl          3
R32      4k7                R-EU_R0805                     R0805              rcl          3
R33      220                R-EU_R0805                     R0805              rcl          3
R34      1k                 R-EU_R0805                     R0805              rcl          3
R35      220                R-EU_R0805                     R0805              rcl          3
R36      1k                 R-EU_R0805                     R0805              rcl          3
R37      4k7                R-EU_R0805                     R0805              rcl          3
R38      1k                 R-EU_R0805                     R0805              rcl          3
R39      5                  R-EU_R0805                     R0805              rcl          3
R40      66                 R-EU_R0805                     R0805              rcl          3
R41      66                 R-EU_R0805                     R0805              rcl          3
R42      66                 R-EU_R0805                     R0805              rcl          3
R43      66                 R-EU_R0805                     R0805              rcl          3
R44      33                 R-EU_R0805                     R0805              rcl          3
R45      33                 R-EU_R0805                     R0805              rcl          3
R46      33                 R-EU_R0805                     R0805              rcl          14
R47      66                 R-EU_R0805                     R0805              rcl          3
R48      66                 R-EU_R0805                     R0805              rcl          3
R49      66                 R-EU_R0805                     R0805              rcl          3
R50      66                 R-EU_R0805                     R0805              rcl          3
R51      33                 R-EU_R0805                     R0805              rcl          3
R52      33                 R-EU_R0805                     R0805              rcl          3
R53      66                 R-EU_R0805                     R0805              rcl          3
R54      66                 R-EU_R0805                     R0805              rcl          3
R55      66                 R-EU_R0805                     R0805              rcl          3
R56      33                 R-EU_R0805                     R0805              rcl          3
R57      33                 R-EU_R0805                     R0805              rcl          3
R58      33                 R-EU_R0805                     R0805              rcl          3
R59      33                 R-EU_R0805                     R0805              rcl          3
R60      33                 R-EU_R0805                     R0805              rcl          3
R61      33                 R-EU_R0805                     R0805              rcl          3
R62      10k                R-EU_R0805                     R0805              rcl          3
R63      33                 R-EU_R0805                     R0805              rcl          3
R64      33                 R-EU_R0805                     R0805              rcl          3
R65      220                R-EU_R0805                     R0805              rcl          3
R66      75                 R-EU_R0805                     R0805              rcl          3
R67      75                 R-EU_R0805                     R0805              rcl          3
R68      75                 R-EU_R0805                     R0805              rcl          3
R69      220                R-EU_R0805                     R0805              rcl          5
R70      4k7                R-EU_R0805                     R0805              rcl          5
R71      10k                R-EU_R0805                     R0805              rcl          7
R72      3k9                R-EU_R0805                     R0805              rcl          7
